location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Qatar,QAT,2020-12-22,0,NA,NA,NA,NA,0,NA,NA,NA
Qatar,QAT,2020-12-23,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-24,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-25,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-26,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-27,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-28,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-29,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-30,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2020-12-31,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-01,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-02,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-03,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-04,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-05,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-06,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-07,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-08,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-09,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-10,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-11,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-12,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-13,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-14,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-15,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-16,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-17,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-18,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-19,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-20,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-21,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-22,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-23,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-24,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-25,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-26,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-27,NA,NA,NA,NA,1351,NA,NA,NA,469
Qatar,QAT,2021-01-28,50000,NA,NA,NA,1351,1.74,NA,NA,469
Qatar,QAT,2021-01-29,NA,NA,NA,NA,1771,NA,NA,NA,615
Qatar,QAT,2021-01-30,NA,NA,NA,NA,2190,NA,NA,NA,760
Qatar,QAT,2021-01-31,NA,NA,NA,NA,2609,NA,NA,NA,906
Qatar,QAT,2021-02-01,NA,NA,NA,NA,3028,NA,NA,NA,1051
Qatar,QAT,2021-02-02,NA,NA,NA,NA,3447,NA,NA,NA,1196
Qatar,QAT,2021-02-03,NA,NA,NA,NA,3867,NA,NA,NA,1342
Qatar,QAT,2021-02-04,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-05,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-06,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-07,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-08,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-09,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-10,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-11,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-12,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-13,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-14,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-15,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-16,NA,NA,NA,NA,4286,NA,NA,NA,1488
Qatar,QAT,2021-02-17,NA,100000,NA,NA,4286,NA,3.47,NA,1488
Qatar,QAT,2021-02-18,140000,NA,NA,NA,4286,4.86,NA,NA,1488
Qatar,QAT,2021-02-19,NA,NA,NA,NA,5245,NA,NA,NA,1821
Qatar,QAT,2021-02-20,NA,NA,NA,NA,6204,NA,NA,NA,2153
Qatar,QAT,2021-02-21,NA,NA,NA,NA,7163,NA,NA,NA,2486
Qatar,QAT,2021-02-22,NA,NA,NA,NA,8122,NA,NA,NA,2819
Qatar,QAT,2021-02-23,NA,NA,NA,NA,9082,NA,NA,NA,3152
Qatar,QAT,2021-02-24,NA,NA,NA,NA,10041,NA,NA,NA,3485
Qatar,QAT,2021-02-25,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-02-26,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-02-27,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-02-28,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-01,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-02,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-03,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-04,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-05,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-06,NA,NA,NA,NA,11000,NA,NA,NA,3818
Qatar,QAT,2021-03-07,327000,NA,NA,NA,11000,11.35,NA,NA,3818
Qatar,QAT,2021-03-08,NA,NA,NA,NA,11952,NA,NA,NA,4148
Qatar,QAT,2021-03-09,NA,NA,NA,NA,12905,NA,NA,NA,4479
Qatar,QAT,2021-03-10,380000,NA,NA,NA,13857,13.19,NA,NA,4810
Qatar,QAT,2021-03-11,NA,NA,NA,NA,15381,NA,NA,NA,5339
Qatar,QAT,2021-03-12,NA,NA,NA,NA,16905,NA,NA,NA,5868
Qatar,QAT,2021-03-13,NA,NA,NA,NA,18429,NA,NA,NA,6397
Qatar,QAT,2021-03-14,NA,NA,NA,NA,19952,NA,NA,NA,6925
Qatar,QAT,2021-03-15,NA,NA,NA,NA,20524,NA,NA,NA,7124
Qatar,QAT,2021-03-16,510000,NA,NA,NA,21095,17.7,NA,NA,7322
Qatar,QAT,2021-03-17,NA,NA,NA,NA,20989,NA,NA,NA,7285
Qatar,QAT,2021-03-18,NA,NA,NA,NA,20311,NA,NA,NA,7050
Qatar,QAT,2021-03-19,NA,NA,NA,NA,19633,NA,NA,NA,6815
Qatar,QAT,2021-03-20,NA,NA,NA,NA,18956,NA,NA,NA,6580
Qatar,QAT,2021-03-21,594613,NA,NA,NA,18278,20.64,NA,NA,6344
Qatar,QAT,2021-03-22,615655,NA,NA,21042,18189,21.37,NA,NA,6313
Qatar,QAT,2021-03-23,637461,NA,NA,21806,18209,22.13,NA,NA,6320
Qatar,QAT,2021-03-24,658325,NA,NA,20864,18772,22.85,NA,NA,6516
Qatar,QAT,2021-03-25,679278,NA,NA,20953,19348,23.58,NA,NA,6716
Qatar,QAT,2021-03-26,701943,NA,NA,22665,20168,24.36,NA,NA,7000
Qatar,QAT,2021-03-27,721236,NA,NA,19293,20507,25.03,NA,NA,7118
Qatar,QAT,2021-03-28,740309,NA,NA,19073,20814,25.7,NA,NA,7224
Qatar,QAT,2021-03-29,765110,NA,NA,24801,21351,26.56,NA,NA,7411
Qatar,QAT,2021-03-30,790676,NA,NA,25566,21888,27.44,NA,NA,7597
Qatar,QAT,2021-03-31,816484,NA,NA,25808,22594,28.34,NA,NA,7842
Qatar,QAT,2021-04-01,842000,NA,NA,25516,23246,29.23,NA,NA,8069
Qatar,QAT,2021-04-02,867209,NA,NA,25209,23609,30.1,NA,NA,8195
Qatar,QAT,2021-04-03,889202,NA,NA,21993,23995,30.86,NA,NA,8329
Qatar,QAT,2021-04-04,910851,NA,NA,21649,24363,31.62,NA,NA,8456
Qatar,QAT,2021-04-05,934843,NA,NA,23992,24248,32.45,NA,NA,8416
Qatar,QAT,2021-04-06,961555,NA,NA,26712,24411,33.38,NA,NA,8473
Qatar,QAT,2021-04-07,987673,NA,NA,26118,24456,34.28,NA,NA,8489
Qatar,QAT,2021-04-08,1012716,NA,NA,25043,24388,35.15,NA,NA,8465
Qatar,QAT,2021-04-09,1041632,NA,NA,28916,24918,36.15,NA,NA,8649
Qatar,QAT,2021-04-10,1062250,NA,NA,20618,24721,36.87,NA,NA,8581
Qatar,QAT,2021-04-11,1079776,NA,NA,17526,24132,37.48,NA,NA,8376
Qatar,QAT,2021-04-12,1104726,NA,NA,24950,24269,38.34,NA,NA,8424
Qatar,QAT,2021-04-13,1131631,NA,NA,26905,24297,39.28,NA,NA,8433
Qatar,QAT,2021-04-14,1159479,NA,NA,27848,24544,40.24,NA,NA,8519
Qatar,QAT,2021-04-15,1183191,NA,NA,23712,24354,41.07,NA,NA,8453
Qatar,QAT,2021-04-16,1209648,NA,NA,26457,24002,41.99,NA,NA,8331
Qatar,QAT,2021-04-17,1225110,NA,NA,15462,23266,42.52,NA,NA,8075
Qatar,QAT,2021-04-18,1248229,NA,NA,23119,24065,43.33,NA,NA,8353
Qatar,QAT,2021-04-19,1271478,NA,NA,23249,23822,44.13,NA,NA,8268
Qatar,QAT,2021-04-20,1296520,NA,NA,25042,23556,45,NA,NA,8176
Qatar,QAT,2021-04-21,1320866,NA,NA,24346,23055,45.85,NA,NA,8002
Qatar,QAT,2021-04-22,1345423,NA,NA,24557,23176,46.7,NA,NA,8044
Qatar,QAT,2021-04-23,1372396,NA,NA,26973,23250,47.64,NA,NA,8070
Qatar,QAT,2021-04-24,1394781,NA,NA,22385,24239,48.41,NA,NA,8413
Qatar,QAT,2021-04-25,1415761,NA,NA,20980,23933,49.14,NA,NA,8307
Qatar,QAT,2021-04-26,1442708,NA,NA,26947,24461,50.08,NA,NA,8490
Qatar,QAT,2021-04-27,1469633,NA,NA,26925,24730,51.01,NA,NA,8584
Qatar,QAT,2021-04-28,1496833,NA,NA,27200,25138,51.95,NA,NA,8725
Qatar,QAT,2021-04-29,1526775,971973,554982,29942,25907,52.99,33.74,19.26,8992
Qatar,QAT,2021-04-30,1556203,989627,566576,29428,26258,54.01,34.35,19.67,9114
Qatar,QAT,2021-05-01,1579002,1002748,576254,22799,26317,54.81,34.8,20,9134
Qatar,QAT,2021-05-02,1603913,1017019,586894,24911,26879,55.67,35.3,20.37,9330
Qatar,QAT,2021-05-03,1635398,1031300,604098,31485,27527,56.76,35.8,20.97,9554
Qatar,QAT,2021-05-04,1670911,1047196,623715,35513,28754,58,36.35,21.65,9980
Qatar,QAT,2021-05-05,1701914,1064294,637620,31003,29297,59.07,36.94,22.13,10169
Qatar,QAT,2021-05-06,1732471,1080415,652056,30557,29385,60.13,37.5,22.63,10199
